    0.147630369839194309E+01    0.120925530572068229E+00    0.121265178646021909E+01    0.142635287729875576E+00    0.187035962911266864E+02
    0.134333287330232976E+01    0.600323280436296930E-01    0.137152661787763908E+01    0.830689128559531781E-01    0.191537291907378204E+02
    0.125913490735246958E+01    0.120318086825638090E+00    0.124987221237265445E+01    0.960627251413694733E-01    0.200685743574123592E+02
    0.127319855244372171E+01    0.150408856251590090E+00    0.125535935930970544E+01    0.133730100982224598E+00    0.204692258161708054E+02
    0.135649491982023918E+01    0.129555586362429392E+00    0.133834025084075492E+01    0.198612326032952674E+00    0.205215613636765681E+02
    0.141955923497272396E+01    0.167548743454209004E+00    0.124534237225138500E+01    0.159166995382492599E+00    0.207240693993454101E+02
    0.133486351198016506E+01    0.232616408006517061E+00    0.132710056437315771E+01    0.105703473202164153E+00    0.208656355161019604E+02
    0.129449629298688196E+01    0.152520637955785660E+00    0.136869708091031850E+01    0.118151382949317665E+00    0.209420218443161019E+02
    0.133781705618332669E+01    0.817382066059907514E-01    0.129014397126335223E+01    0.188053499134887864E+00    0.212311851285989661E+02
    0.141199112433632523E+01    0.115435244156416400E+00    0.125863671650367537E+01    0.196705133544312211E+00    0.212475481381901830E+02
    0.126688143492862748E+01    0.241053397135465669E+00    0.130598799218925343E+01    0.757949234184290693E-01    0.213025577870412661E+02
    0.130226768383043812E+01    0.144483394887714361E+00    0.127222810294490696E+01    0.155182014831289294E+00    0.213588170116976386E+02
    0.128536534403358327E+01    0.197007173914271694E+00    0.127196005818839031E+01    0.111215662942769911E+00    0.215458755589237541E+02
    0.143252205555389711E+01    0.948633500981975741E-01    0.127310447230390733E+01    0.429924479745773455E-01    0.216095735632716099E+02
    0.126236948496190582E+01    0.144586602980519646E+00    0.133488169663059653E+01    0.106646973136457685E+00    0.217422162680539657E+02
    0.144844323112012141E+01    0.216146286305344604E+00    0.130329320610092569E+01    0.606645938539835117E-01    0.220796054731062128E+02
    0.133366608151541421E+01    0.149676277879293773E+00    0.124857963093894142E+01    0.151169522992632865E+00    0.221777087674608993E+02
    0.145563792477076115E+01    0.130776884592615272E+00    0.122890161679729593E+01    0.116173799925142082E+00    0.222609709026834537E+02
    0.142068884372711191E+01    0.102125084400177008E+00    0.120861523151397710E+01    0.151875292658805838E+00    0.222717950870110997E+02
    0.139253823357334250E+01    0.169616349604516187E+00    0.128721097201757440E+01    0.147033811816405763E+00    0.223005905055364764E+02
    0.133611409919182700E+01    0.120133462353749415E+00    0.137045821030989678E+01    0.772233390827543886E-01    0.223552809351354114E+02
    0.147160404703841174E+01    0.116207910173054305E+00    0.131590534285569083E+01    0.941672853681457117E-01    0.223724830286543863E+02
    0.144681750461235503E+01    0.966853530564559804E-01    0.129410694251833491E+01    0.137109468964750014E+00    0.224262395114591726E+02
    0.135027745824489709E+01    0.713918710256026129E-01    0.121568911798429236E+01    0.899015470713580150E-01    0.224532949680590690E+02
    0.146635705969148367E+01    0.154357043988668008E+00    0.124348318931834823E+01    0.917060296224629784E-01    0.224693470785474574E+02
    0.136666511113616673E+01    0.220565213529352155E+00    0.132067282539050401E+01    0.657504813104322211E-01    0.224908184153029680E+02
    0.143024354432684175E+01    0.207976105620385238E+00    0.126752711135142238E+01    0.915334422616379678E-01    0.226117281019823793E+02
    0.139790889300512866E+01    0.135222902481252738E+00    0.122379267632931432E+01    0.147914776424020844E+00    0.228262356082952351E+02
