    0.193615498542785636E+01    0.196765052777856786E+01    0.647300213575363170E-02    0.275520241260528570E-01    0.752396821975708008E+00    0.808313703536987394E+00    0.196087239305558114E+01   -0.311676043769775470E+04   -0.621460743175560815E+01    1
    0.195053849220275888E+01    0.198926712365911262E+01    0.128990679979324348E-01    0.409800502657890267E-01    0.788109362125396729E+00    0.103141019344329843E+01    0.156909739557917050E+01   -0.156412944702919049E+04   -0.621660743175561681E+01    1
    0.158213658332824725E+01    0.166736251201028574E+01    0.158828082680702205E-01    0.289959645271301268E-01    0.985608875751495361E+00    0.116798276901245113E+01    0.146102437177761990E+01   -0.725879964333918451E+03   -0.621860743175561392E+01    1
    0.169033167362213144E+01    0.192831267771437775E+01    0.346216082572936984E-01    0.571000486612319932E-01    0.463323593139648438E-01    0.907693195343017623E+00    0.189572637668670718E+01   -0.562964016105273004E+03   -0.622060743175561814E+01    1
    0.955613613128662109E+00    0.182227520274739163E+01    0.434764975309371929E-01    0.172580626606941220E-01    0.590574741363525391E+00    0.109695994853973389E+01    0.188591204435617499E+01   -0.464938128409874651E+03   -0.622260743175562414E+01    1
    0.182464711666107182E+01    0.189412745828405771E+01    0.427252295613288827E-01    0.829599177837371804E-01    0.126791000366210938E+00    0.114756722450256343E+01    0.141120715750898862E+01   -0.269834175001697531E+03   -0.622460743175562925E+01    1
    0.178648779392242441E+01    0.199724036131340910E+01    0.694731485843658458E-01    0.272278308868408210E-01    0.841994702816009521E+00    0.856436896324157759E+00    0.183629024907796468E+01   -0.229493554508100573E+03   -0.622660743175562548E+01    1
    0.173415589332580566E+01    0.193878841176103833E+01    0.595245939493179305E-01    0.111184084415435799E+00    0.923163652420043945E+00    0.107319135665893550E+01    0.197158169603280831E+01   -0.198569391790313659E+03   -0.622860743175562526E+01    1
    0.197695024013519283E+01    0.199069853939563335E+01    0.578818240761756891E-01    0.117832170128822328E+00    0.194596946239471436E+00    0.968174147605896041E+00    0.179279405326468289E+01   -0.182464503908414656E+03   -0.623060743175562948E+01    1
    0.199521229267120370E+01    0.199823221041352350E+01    0.129389210641384117E+00    0.186297470331192004E-01    0.879622995853424072E+00    0.104605627059936523E+01    0.170897795772600603E+01   -0.150588387198207840E+03   -0.623260743175562393E+01    1
    0.190493850708007817E+01    0.196555682070761573E+01    0.109883151352405548E+00    0.121630760133266458E+00    0.135198950767517090E+00    0.101270761489868177E+01    0.151492455077980148E+01   -0.147968294696141214E+03   -0.623460743175563081E+01    1
    0.876094841957092307E+00    0.179282850062045185E+01    0.815228223800659180E-01    0.668177616596221935E-01    0.572022557258605957E+00    0.819395375251770086E+00    0.171295928275736298E+01   -0.143914379558987150E+03   -0.623660743175562082E+01    1
    0.148939845561981210E+01    0.191266293875537619E+01    0.832404285669326865E-02    0.131746781170368199E+00    0.944945633411407471E+00    0.114249777793884277E+01    0.198232572520429073E+01   -0.141238871669739325E+03   -0.623860743175562416E+01    1
    0.189925508499145512E+01    0.199680702719674064E+01    0.136533145606517803E+00    0.866794657707214422E-01    0.627214312553405762E-01    0.941286039352417059E+00    0.153143325565520749E+01   -0.132722315704721524E+03   -0.624060743175563726E+01    1
    0.963683271408081077E+00    0.179731716837120548E+01    0.604074215888977042E-01    0.848389875888824474E-01    0.811381459236145020E+00    0.103879971504211421E+01    0.150147622671435954E+01   -0.129166196961035723E+03   -0.624260743175562549E+01    1
    0.183255255222320557E+01    0.192550362254431207E+01    0.223347789049148579E-01    0.136110909581184381E+00    0.691335022449493408E+00    0.110352957248687744E+01    0.175824175793295012E+01   -0.128333324911290788E+03   -0.624460743175562794E+01    1
    0.104554743766784664E+01    0.160499797759370333E+01    0.553846687078475911E-01    0.125626599788665784E-01    0.270390689373016357E+00    0.856922912597656294E+00    0.191591858856363606E+01   -0.127288168004366483E+03   -0.624660743175561439E+01    1
    0.189404766559600835E+01    0.193728651108403094E+01    0.133079224824905390E+00    0.119011899530887602E+00    0.293098986148834229E+00    0.100872364044189466E+01    0.183284183169363368E+01   -0.115789037350344017E+03   -0.624860743175559463E+01    1
    0.844499349594116211E+00    0.118954839420196379E+01    0.910587888956069930E-01    0.443525686860084534E-01    0.854109883308410645E+00    0.110461876392364511E+01    0.163489639033658851E+01   -0.114968430857334781E+03   -0.625060743175561750E+01    1
    0.170925362110137935E+01    0.194003634598956864E+01    0.830103406310081504E-01    0.328874045610427837E-01    0.590526819229125977E+00    0.110946354866027841E+01    0.183762869017494390E+01   -0.113823149512991108E+03   -0.625260743175562173E+01    1
    0.107927668094635010E+01    0.111165014072396673E+01    0.670357689261436435E-01    0.559572130441665649E-02    0.650699794292449951E+00    0.943422579765319846E+00    0.168073358268031559E+01   -0.109494141971533423E+03   -0.625460743175560463E+01    1
