    0.944270443916320867E+00    0.143732931686696053E+01    0.454683992862701392E+00    0.147370694279670728E+00    0.953406095504760742E-01    0.106676163673400870E+01    0.148761963022760701E+01    0.215659537593454047E+02
    0.134403654968748998E+01    0.187062389743464830E+01    0.923493143321836157E-01    0.177968481952901547E+00    0.830544509211382675E+00    0.107027704060179674E+01    0.157106795100251517E+01    0.217498404455369041E+02
    0.866982464465674063E+00    0.139027683764942056E+01    0.781126434971222833E-01    0.116940381735713930E+00    0.420555934628951272E-01    0.116607930216796341E+01    0.157622089929712050E+01    0.236446044254077066E+02
    0.129961223944171755E+01    0.149729348828710251E+01    0.166035723354178211E+00    0.687014271182911362E-01    0.896536059002084884E+00    0.113158025016314379E+01    0.147803205460411147E+01    0.236632269021217496E+02
    0.137984991718040195E+01    0.192013716328433737E+01    0.891173920891179250E-01    0.283916255806798412E+00    0.618582062639505326E+00    0.114172636811639316E+01    0.145721781060830402E+01    0.251150465489189259E+02
    0.136034599239816356E+01    0.180185908962639418E+01    0.141205982188084694E-01    0.356314672420057599E+00    0.508914891369530387E+00    0.109168504508652053E+01    0.146368218552628315E+01    0.252671377937258370E+02
    0.140311528807668839E+01    0.154551679843974354E+01    0.154448098985592780E+00    0.197273013264995717E+00    0.800015651660154092E+00    0.109714597532670566E+01    0.140581862619549369E+01    0.255024956279425936E+02
    0.137572911652434549E+01    0.176363956476381945E+01    0.156058182018192243E+00    0.260386453394862216E+00    0.834325248986399703E+00    0.110698169916915634E+01    0.139776535814920622E+01    0.256208285053385652E+02
    0.137336331159631087E+01    0.138675029253170989E+01    0.117429151441204305E+00    0.224205138047255448E+00    0.485651952118693553E+00    0.115309659240679308E+01    0.148185679083146216E+01    0.258073026065851252E+02
    0.137689366788541001E+01    0.192296402672354771E+01    0.112644333841208810E+00    0.489516748501868215E+00    0.916219174498055455E+00    0.109556524168735314E+01    0.148725925987626972E+01    0.258210618666998926E+02
    0.129749756715009101E+01    0.153837435675823464E+01    0.524709369805325329E-01    0.427328259433659485E+00    0.915983240642585517E+00    0.117813523445733526E+01    0.150229416755922074E+01    0.259045656562837792E+02
